bibid,feature
1031712,"การใช้อาหารจากการหมักผลพลอยได้จากวัสดุการเกษตรเพื่อผลิตไก่ไข่ภายใต้โครงการพัฒนาเด็กและเยาวชนในถิ่นทุรกันดาร ตามพระราชดำริฯ ในจังหวัดเชียงราย พะเยา และแม่ฮ่องสอนอาหารหมัก,agricultural by-product,ผลพลอยได้จากวัสดุการเกษตร,ไก่ไข่,โครงการพัฒนาเด็กและเยาวชนในถิ่นทุรกันดาร,fermented diet,agricultural by-product,layer hen,the development of children and youth in remote areas"
1031714,"การบูรณาการเทคโนโลยีการเพาะเลี้ยงปลาเพื่อให้ได้ผลผลิตสูง การแปรรูปที่ถูกสุขลักษณะเพื่อสร้างมูลค่าเพิ่มอย่างยั่งยืน ร่วมกับการพัฒนาทักษะฟาร์มอัจฉริยะการเพาะเลี้ยงปลา,การแปรรูปที่ถูกสุขลักษณะ,ผลิตภัณฑ์มูลค่าเพิ่ม,ทักษะฟาร์มอัจฉริยะ ,Aquaculture,hygienic processing of fish,value-added products,smart-farming skill"
1031721,"การถ่ายทอดเทคโนโลยีการผลิตผ้าทอจากใยสับปะรดและพัฒนาผลิตภัณฑ์ตามหลักปรัชญาของเศรษฐกิจพอเพียงการถ่ายทอดเทคโนโลยี,เส้นใยสับปะรด,นวัตกรรม,ผ้าทอ,การมีส่วนร่วม,knowledge transfer,pineapple fiber,innovation,woven fabric,participation"
1031723,"การจัดการและการถ่ายทอดองค์ความรู้สำหรับ การปรนนิบัติซ่อมบำรุงเครื่องยิงลูกระเบิด ขนาด 120 มม. M132 A1 พร้อมระบบรับแรงสะท้อนถอยหลัง&quot;ระบบรับแรง,เครื่องยิงลูกระเบิด,เครื่องยิงลูกระเบิด,recoil system,mortar"
1036140,"การถ่ายทอดความรู้ผ้าทอมัดหมี่ย้อมครามและการยกระดับการผลิตของกลุ่มวิสาหกิจชุมชนผ้าทอมัดหมี่ จังหวัดอุดรธานีการถ่ายทอดความรู้,ผ้าทอมัดหมี่,การยกระดับการผลิต,knowledge transfer,Indigo-dyed Fabrics,production upgrading"
1036142,"ถ่ายทอดการใช้ประโยชน์กากมันหมักยีสต์การผลิตปลายข้าวเทียมเป็นการผลิตอาหารเลี้ยงสัตว์ต้นทุนต่ำแบบพึ่งพาตนเอง (ปีที่ 2)การใช้ประโยชน์,วัตถุดิบอาหารในท้องถิ่น,ลดต้นทุนการผลิต,แบบพึ่งพาตนเอง,Utilization,Local raw material,Production Low-cost,Self-Sufficient"
1031711,"โครงการถ่ายทอดเทคโนโลยีเครื่องอบแห้งผลิตภัณฑ์ทางการเกษตรด้วยพลังงานแสงอาทิตย์พลังงานแสงอาทิตย์,อบแห้ง,ลดความชื้น,การแปรรูปผลิตภัณฑ์ทางการเกษตร,Solar Energy,drying,Reduce,Moisture Content,Agricultural Product Processing"
1036176,"องค์ความรู้สู่ชุมชน : นวัตกรรมกรองน้ำด้วยนาโนเทคโนโลยีเพื่อการพึ่งตนเองของชุมชนบ้านสัก ต.บ้านเอื้อม อ.เมืองลำปาง จังหวัดลำปางชุมชนบ้านสัก,การถ่ายทอดองค์ความรู้,ไส้กรองน้ำต้นทุนต่ำ,นักบริหารจัดการน้ำรุ่นเยาว์,การอนุรักษ์แหล่งน้ำบาดาล,Ban Sak community,Knowledge transfer,Affordable water filtration,Junior Water Resource Management Specialist,Conserving groundwater source"
1031713,"ส่งเสริมการเลี้ยงปลาช่อนทะเล Black salmon(Rachycentron canadum) และการแปรรูปเพื่อเพิ่มมูลค่าสินค้าประมงพื้นบ้านอำเภอถลาง จังหวัดภูเก็ตSand crab,Beach plants (Launaea),ปลาช่อนทะเล จักจั่นทะเล ผักลิ้นห่าน วิสาหกิจชุมชน,Sand crab,Beach plants (Launaea),Black salmons,Enterprise"
1031720,"การควบคุมแมลงศัตรูพืชอย่างปลอดภัย ด้วยไอน้ำสมุนไพร: ชุมชนพึ่งตนเอง ตำบลหนองโรง อำเภอพนมทวน จังหวัดกาญจนบุรีไอน้ำสมุนไพร,เกษตรยั่งยืน,แมลงศัตรูพืช,ศูนย์เรียนรู้การเพิ่มประสิทธิภาพการผลิตสินค้าเกษตร (ศพก.),จังหวัดกาญจนบุรี,Herbal Steam,Sustainable agriculture,Plant insect pests,Development of Agricultural Learning Center (ALC),Kanchanaburi Province"
1031722,"การประยุกต์ใช้แนวคิดธรรมชาติช่วยธรรมชาติ ในกระบวนการกำจัดก๊าซไฮโดรเจนซัลไฟด์ในก๊าซชีวภาพจากฟาร์มสุกร สำหรับชุมชนบ้านห้วยทรายขาว ตำบลน้ำเลา อำเภอร้องกวาง จังหวัดแพร่ก๊าซไฮโดรเจนซัลไฟด์ในก๊าซชีวภาพ,เหล็กออกไซด์,สนิมเหล็ก,ประปาบาดาล,Hydrogen Sulfide,Iron Oxide,Iron Rust,water supply"
1035139,"การผลิตเนื้อเทียมแห้งไร้สารก่อภูมิแพ้ทางการค้าโปรตีนพืชขึ้นรูป  โปรตีนข้าว  เนื้อเทียม,Textured vegetable protein,Rice protein,Meat analog"
1036185,"การพัฒนาอาชีพและยกระดับเศรษฐกิจฐานรากของคนในชุมชนด้วยนวัตกรรมการผลิตอาหารสัตว์ต้นทุนต่ำอาหารต้นทุนต่ำ,การพัฒนาอาชีพ,เศรษฐกิจฐานราก,low-cost feed,Career development,foundational economy"
1036190,"การถ่ายทอดเทคโนโลยีการย้อมไหมด้วยสีธรรมชาติและการบำบัดน้ำเสียที่เหมาะสม เพื่อยกระดับคุณค่าผ้าทอพื้นเมืองการถ่ายทอดความรู้,นวัตกรรม,การมีส่วนร่วม,ผ้าไหม,สีย้อมธรรมชาติ,การบำบัดน้ำเสีย,คำสำคัญ,knowledge transfer,innivative,participation,silk fabric,natural dye,water treatment"
1036141,"นวัตกรรมการจัดการความรู้การแปรรูปและพัฒนาผลิตภัณฑ์ใหม่จากข้าวอินทรีย์เพื่อยกระดับอาชีพและเสริมสร้างขีดความสามารถของเกษตรกรในอำเภอสันทราย จังหวัดเชียงใหม่นวัตกรรมการจัดการความรู้,การแปรรูปผลิตภัณฑ์,ข้าวอินทรีย์,การยกระดับอาชีพ,เกษตรกรผู้ปลูกข้าวอินทรีย์,Innovation of Knowledge Management,Processing of Products,Organic Rice,Occupational Upgrading,Organic rice farmer."
1036192,"การพัฒนาและส่งเสริมศักยภาพของชุมชนด้วยเทคโนโลยีและนวัตกรรมแปรรูปอาหาร เพื่อยกระดับคุณภาพชีวิตที่ยังยื่นในพื้นที่จังหวัดสระบุรี ฉะเชิงเทรา และนนทบุรีเทคโนโลยีและนวัตกรรมแปรรูปอาหาร,คุณภาพชีวิตที่ยั่งยืน,Technology and Innovation Food Processing,Community Standard,Sustainable Life Qaulity"
1036143,"การยกระดับรูปแบบการผลิตไก่งวงขุนให้มีคุณภาพสูงและสร้างรายได้ให้กับเกษตรกรในเขตอำเภอครบุรี จังหวัดนครราชสีมาไก่งวง,ระบบการผลิต,มาตรฐานฟาร์ม,การแปรรูปผลิตภัณฑ์,turkey,production system,farm standard,product processing"
1036199,"การจัดการผลผลิตทางการเกษตรโดยการพัฒนากระบวนการผลิตข้าวกล้องงอกด้วยชุดอุปกรณ์เร่งการแช่และเพาะงอกข้าวเปลือก เพื่อการพัฒนาชุมชนเพื่อความมั่นคง มั่งคั่งและยั่งยืนชุด                                อุปกรณ์เร่งการแช่และเพาะงอกข้าวเปลือก,Agricultural production management by the germinated brown rice"
1036182,"การถ่ายทอดองค์ความรู้นวัตกรรมเกษตรอัจฉริยะแบบบูรณาการอย่างยั่งยืนสำนักงานการวิจัยแห่งชาติ  นวัตกรรมเกษตร  ภูมิทัศน์อัจฉริยะ  ศักยภาพการเรียนรู้,National Research Council of Thailand  Agricultural Innovation  Intelligent Landscape  Learning Potential"
1036191,"การประยุกต์ใช้เทคโนโลยีระบบน้ำหยดสำหรับพืชผักสวนครัวด้วยพลังงานแสงอาทิตย์ระบบน้ำหยด,พืชผักสวนครัว,พลังงานแสงอาทิตย์,Drip Irrigation System,Home Vegetable Gardening,Solar Energy"
1039738,"จด จารึก จำหลักใจInscriptions of The Mindจด จารึก จำหลักใจ,ความทรงจำส่วนบุคคล,บริบททางวัฒนธรรมและประวัติศาสตร์,ศิลปินหญิง,Inscriptions,personal memory,history and cultural context, woman artist"
1039740,"ฤทธิ์ยับยั้งเซลล์มะเร็งปอด A549 ของเคอคิวมินและอนุพันธ์ของเคอคิวมิน CU17Anti-cancer activities of curcumin and curcumin derivative CU17 against human lung cancer A549 cellsเคอคิวมิน,อะพอพโทซิส,อนุพนธ์ของเคอคิวมิน CU17,มะเร็งปอด,curcumin,curcumin derivative CU17,lung cancer,apoptosis"
1039757,"การศึกษาการแพร่กระจาย และการประเมินฟลักซ์ของขยะประเภทไมโครพลาสติกในแม่น้ำเจ้าพระยาตอนกลาง และตอนล่างThe Study on Distribution and Flux Assessment of Microplastics Debris in Middle and Lower Part of The Chao Phraya Riverไมโครพลาสติก,ฟลักซ์,แม่น้ำเจ้าพระยา,Microplastics,Flux,Chao Phraya River"
1039771,"ต้นแบบเชิงรุกเพื่อยกระดับการสร้างอัตลักษณ์เฉพาะถิ่นสู่การออกแบบผลิตภัณฑ์ชุมชน จังหวัดชัยนาทThe Model of Identity Creation for Community Product Designs of Chai Nat.กระบวนการเชิงรุก,การมีส่วนร่วมของชุมชน,อัตลักษณ์เฉพาะถิ่น,process proactively,Community Participation,Local Identity"
1039773,"พฤฒสัมพันธ์ดิจิทัลกับกิจกรรมพหุสัมผัสสำหรับผู้สูงวัยรักบ้านDigital relationship through multi-sensory activity for homeboundผู้สูงอายุ,ส่วนต่อประสาน,ปฎิสัมพันธ์,older adult,interface,Aging,Interaction"
1039804,"พัฒนาการของเมืองสุพรรณบุรี ตั้งแต่พุทธศตวรรษที่ 19-23The Development of Suphanburi during 14th-18th Century A.D.สุพรรณบุรี,สุพรรณภูมิ,พัฒนาการเมืองสุพรรณบุรี,โบราณคดีสมัยประวัติศาสตร์,สมัยอยุธยา,Suphanburi,Development of Suphanburi,Historical archaeology"
1039872,"การเพิ่มมูลค่ากากของเสียจากอุตสาหกรรมเครื่องดื่มพร้อมทานผ่านการอัดเม็ดและการทอรีแฟคชั่น เพื่อใช้เป็นเชื้อเพลิงชีวภาพValorisation of solid waste from ready-to-drink industry through pelletizationand torrefaction for use as biofuelชีวมวล,การอัดเม็ด,การทอริแฟคชั่น,กากของเสีย,อุตสาหกรรมเครื่องดื่มพร้อมทาน,Biomass,Densification,torrefaction,solid waste,Ready-to-drink industry"
1039938,"การผลิตเอทิลเอสเทอร์แบบต่อเนื่อง ด้วยเครื่องปฏิกรณ์ไฮโดรไดนามิคคาวิเทชั่น ชนิดโรเตอร์ แบบผิวมีหลุมETHYL ESTER CONTINUOUS PRODUCTION BY HYDRODYNAMICS CAVITATION FROM BUMPY SURFACE ROTOR REACTORคำสำคัญ,การผลิตไบโอดีเซลแบบต่อเนื่อง เครื่องปฏิกรณ์ชนิดโรเตอร์แบบพื้นผิวมีหลุม ความสิ้นเปลืองพลังงานจำเพาะ ระยะเวลาไหลผ่านระบบ,Keyword,Continuous biodiesel production; Bumpy surface rotor reactor; Specific energy consumption; Retention time"
1039955,"สุนทรียะแห่งแสงสู่การรังสรรค์นวัตกรรมช่วยผ่อนคลายภาวะอาการความเมื่อยล้าของสายตาด้วยการรับรู้จากการมองเห็นในยุคสัญญาณดิจิทัลThe work&#39;s aesthetic uses innovations of light to create a sense ofbeauty which can relieve eye fatigue from visual perception In the digital signal age.ความเมื่อยล้าของสายตา,การออกแบบ,นวัตกรรมแสง,สุนทรียะ,Visual Fatigue,Design,Lighting,Aesthetic"
1039975,"การสกัดและศึกษาคุณลักษณะของคอนดรอยตินซัลเฟตด้วยเอนไซม์ และการสกัดสารออกฤทธิ์ทางชีวภาพจากปลิงทะเลดำ(Holothurialeucospilota)และปลิงทะเลขาว(Holothuria scabra)EnzymeAssistedExtractionandCharacterizationofChondroitin SulfateandExtractionofBioactiveCompoundsfromHolothuriaLeucospilotaandHolothuriaScabraคอนดรอยตินซัลเฟต,สารออกฤทธิ์ทางชีวภาพ,Chondroitin sulfate,Bioactive compounds"
1041295,"การวิเคราะห์อภิมานงานวิจัยด้านการพัฒนาทักษะการอ่านภาษาอังกฤษเพื่อความเข้าใจของนักเรียนMeta Analysis of Research Related to Development of Students English Reading Comprehension Skillทักษะการอ่านภาษาอังกฤษเพื่อความเข้าใจ,การวิเคราะห์อภิมาน,English Reading Comprehension,Meta Analysis"
1042996,"การก่อรูปสัณฐานเเละองค์ประกอบเมืองของพื้นที่รอบนอกกำเเพงเมืองเชียงใหม่Morphological Study of Outer Area of Chiang Mai City Wall and Its Urban Elementsสัณฐานเมือง,องค์ประกอบ,พัฒนาการ,พื้นที่รอบนอกกำแพงเมืองเชียงใหม่,สถาปัตยกรรมเมือง,Morphological,Outer Area of Chiang Mai City Wall,Urban Elements,Urban Architecture"
1039727,"การพัฒนามาตรวัดทักษะการคิดเชิงบวกสำหรับนิสิตระดับปริญญาตรี ในเขตพัฒนาพิเศษภาคตะวันออกTHE DEVELOPMENT OF A POSITIVE THINKING SKILL SCALE FOR UNDERGRADUATE STUDENTS IN EASTERN SPECIAL DEVELOPMENT ZONE.Undergraduate Students,Positive Thinking,Positive Thinking 				Skills Scale,Construct Validity,Norms,นิสิตระดับปริญญาตรี,การคิดเชิงบวก,มาตรวัดทักษะการคิดเชิงบวก,ความตรงเชิงโครงสร้าง,ปกติวิสัย"
1039745,"การพัฒนาวิธีการกระตุ้นความจำเชิงบวกด้วยสิ่งเร้าพหุสำหรับลดความเสี่ยงต่อการเกิดโรคซึมเศร้าในผู้ที่มีภาวะซึมเศร้า: การศึกษาเชิงพฤติกรรมและคลื่นไฟฟ้าสมองThe development of multisensory positive memory stimulation to reduce the risk of depressive disorder in people with depression: Behavioral and electroencephalography studiesการกระตุ้นความจำเชิงบวกด้วยสิ่งเร้าพหุ,การตระหนักรู้ในอารมณ์,ภาวะซึมเศร้า,คลื่นไฟฟ้าสมอง,Multisensory positive memory stimulation,Emotional awareness,Depression,Electroencephalography"
1039750,"การพัฒนาพื้นที่เชิงเกษตร ประเภทไม้ดอกและไม้ประดับ สำหรับนักเดินทางกลุ่มไมซ์ จังหวัดอุดรธานีTHE DEVELOPMENT OF AGRICULTURAL SITE (FLOWERING AND ORNAMENTAL PLANTS CATEGORY) FOR MICE TRAVELERS, UDON THANI PROVINCEนักเดินทางกลุ่มไมซ์  ประเภทไม้ดอกและไม้ประดับ  บ้านห้วยสำราญ  อุดรธานี,MICE TRAVELERS,FLOWERING AND ORNAMENTAL PLANTS CATEGORY,BAN HUAY SAMRAN,UDONTHANI"
1039752,"การพัฒนาโมเดลสิ่งแวดล้อมการเรียนรู้ตามแนวคอนสตรัคติวิสต์ร่วมกับเทคโนโลยีเสมือนจริงแบบห้องเรียนกลับทางที่ส่งเสริมการคิดสร้างสรรค์ สำหรับการออกแบบผลิตภัณฑ์ ของนักเรียนระดับมัธยมศึกษาตอนปลาย โดยบูรณาการศาสตร์การสอนกับศาสตร์ทางประสาทวิทยาศาสตร์THE DEVELOPMENT OF CONSTRUCTIVIST LEARNING ENVIRONMENT MODEL COMBINE WITH MIXED REALITY FLIPPED CLASSROOM TO ENHANCE CREATIVE THINKING IN PRODUCT DESIGN FOR THE HIGH SCHOOL STUDENTS: INTEGRATION BETWEEN PEDAGOGY AND NEUROSCIENCEสิ่งแวดล้อมการเรียนรู้ตามแนวคอนสตรัคติวิสต์,ห้องเรียนกลับทาง,การคิดสร้างสรรค์,เทคโนโลยีเสมือนจริง,Constructivist learning environment,Flipped classroom,Creative thinking,Mixed reality"
1039761,"การพัฒนาออนโทโลยีความรู้ด้านผ้าของกลุ่มชาติพันธุ์บนพื้นที่สูงOntology Developed for Textile Knowledge of Highland Ethnic Groupsออนโทโลยี,ผ้าของกลุ่มชาติพันธุ์บนพื้นที่สูง,การจัดระบบความรู้,Ontology,Knowledge of Highland Ethnic Groups Textiles,Knowledge Organization"
1039770,"การสร้างโครงเลี้ยงเซลล์ โพลิแลคติกเอซิด/พอลิบิวทิลินอะดิเพท-โค-เทเรฟทาเลต สำหรับการคงสภาพกระดูกเบ้าฟันFabrication of Poly(lactid acid)/Poly(butylene adipate-co-terephthalate) Cells Scaffold for Alveolar Socket Preservationโพลีแลคติกเอซิด/พอลิบิวทิลีนอะดิเพท-โค-เทเรฟทาเลต โครงเลี้ยงเซลล์ โพลิเมอร์ย่อยสลายได้ทางชีวภาพ,Poly(lactic acid)/Poly(butylene adipate-co-terephthalate),tissue scaffold,biodegradable polymer"
1039784,"สารสกัดน้ำจากเปลือกถั่วเขียวเพิ่มการนำกลูโคสและลดอนุมูลอิสระในเซลล์ HepG2 ที่ดื้อต่ออินซูลินMung bean (Vigna Radiata L.) seed coat aqueous extract enhances glucose uptake and lowers reactive oxygen species in insulin-resistance HepG2 cellsเปลือกถั่วเขียว,ภาวะดื้อต่ออินซูลิน,อนุมูลอิสระ,HepG2,การนำกลูโคส,Mung bean seed coat,insulin-resistance,reactive oxygen species,HepG2,glucose uptake"
1039786,"การสกัดสารประกอบฟีนอลิกจากใบพิลังกาสาและการประยุกต์ใช้Extraction of Phenolic Compounds from Ardisia elliptica Thunb. and Its Applicationพิลังกาสา,สารประกอบฟีนอลิก,การสกัด, ฤทธิ์ต้านอนุมูลอิสระ	,Ardisia elliptica,Phenolic compounds,Extraction, Antioxidant activities"
1039795,"การเพิ่มหน้าที่บริหารจัดการสมองในเด็กปฐมวัยโดยใช้โปรแกรมเชิงบูรณาการทางสังคม ปัญญา และแรงจูงใจ: การศึกษาเชิงพฤติกรรม และคลื่นไฟฟ้าสมองEnhancing Executive Function in Early Childhood by Using Integrated Theories of Social-Cognitive-Motivation Program: Behavioral and EEG Studiesหน้าที่บริหารจัดการสมอง,เด็กปฐมวัย,คลื่นไฟฟ้าสมอง,Executive Function,Early Childhood,EEG"
1039936,"การใช้เทคโนโลยีดิจิทัลในการผลิตทางการเกษตรของเกษตรกรในจังหวัดเชียงใหม่Farmers&rsquo; Utilization of Digital Technology for Agricultural Production in Chiang Mai Provinceเทคโนโลยีดิจิทัล,เกษตรกร,การใช้ประโยชน์,Digital Technology,Farmers,Utilization"
1039954,"การพัฒนารูปแบบการฝึกอบรมผ่านเทคโนโลยีอุปกรณ์เคลื่อนที่ตามแนวคิดการเข้าถึงการเรียนรู้ด้วยตนเองเพื่อส่งเสริมสมรรถนะด้านเทคโนโลยีดิจิทัลสำหรับข้าราชการและบุคลากรภาครัฐDevelopment of a Mobile Training Model Based on Self-access learning to Enhance Competency of Digital Technology for Government Staff and Government Personnelการฝึกอบรมผ่านเทคโนโลยีอุปกรณ์เคลื่อนที่,การเข้าถึงการเรียนรู้ด้วยตนเอง,เทคโนโลยีดิจิทัล,Mobile Training,Self-access learning,Micro learning,Digital Technology"
1039744,"การประมาณค่าผลกระทบจากมลพิษทางอากาศต่อการสึกกร่อนของโบราณสถาน ในกรุงเทพมหานครEstimation of Air pollution Effect on Corrosion of Historical Buildings in Bangkokมลพิษทางอากาศ,การสึกกร่อน,โบราณสถาน,Air pollution,Corrosion,Historical buildings"
1039979,"การขยายพันธุ์ผ่านกระบวนการโซมาติกเอ็มบริโอเจเนซีสและการถ่ายยีน mangrinเข้าสู่ปาล์มน้ำมันพันธุ์ทรัพย์ ม.อ. โดยใช้ Agrobacterium tumefaciensMicropropagation Through Somatic Embryogenesis and Transformation of mangrin Gene into Oil Palm SUP-PSU Using Agrobacterium tumefaciensปาล์มน้ำมัน ทรัพย์,ปาล์มน้ำมัน,ทรัพย์ ม.อ.,การถ่ายยีน,ยีน mangrin,Oil palm,SUP-PSU,Gene transformation,mangrin gene"
1039753,"สุรศักดิ์ เจริญวงศ์ ในสัญญาวิจักษ์ : สุนทรียะจากสำนึกแห่งสายใยSURASAK CHAROENWONG IN THE APPRECIATION FROM REMEMBRANCE :THE AESTHETIC FROM SENTIMENTAL RELATIONสุรศักดิ์ เจริญวงศ์,สัญญาวิจักษ์,รื้อสร้าง,รูปซ้อน,Surasak Charoenwong,The Appreciation from Remembrance,Deconstruct,Double Exposure"
1039984,"การออกแบบประสบการณ์เพื่อการเรียนรู้โขนด้วยพหุประสาทสัมผัสDesigning experiences for learning the Khon with Multisensory Integration.โขน,พหุประสาทสัมผัส,การเรียนรู้,การออกแบบประสบการณ์,Khon,Multisensory,Leaning,Designing experiences"
1039758,"การพัฒนาระบบการผลิตเสียงบรรยายภาพประกอบรายการโทรทัศน์สำหรับผู้พิการทางสายตาDevelopment of Audio Description on Television Production System for the Visually Impaired.การพัฒนาระบบ  เสียงบรรยายภาพ   รายการโทรทัศน์  ผู้พิการทางสายตา,System Development,Audio Description.,Television Program,Visually Impaired"
1039760,"การเปลี่ยนรูป &quot;ราชธานีศรีวะนาไล&quot;ผ่านวิธีพหุสัมผัส สู่สุนทรียะเชิงสัมพันธ์THE TRANSFORMATION OF &quot;RATCHATHANI SIWANALAI&quot; INTO RELATIONAL AESTHETICS THROUGH MULTISENSORYดิจิทัลมีเดียสำหรับงานวัฒนธรรมชุมชน,Digital Media For Community Culture"
